Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
9089,dia meminjamkan saya beberapa tagihan,dia meminjamkan saya sejumlah uang,tagihan harus dibayar dan tidak dapat dipinjam,Anda tidak dapat meminjamkan seseorang utang anda sendiri.,"Anda meminjamkan uang kepada orang lain, bukan tagihan.",dia meminjamkan saya sejumlah uang untuk membayar tagihan,dia memberi saya tagihan karena saya sudah meminjam darinya
9090,Aku memberinya kunci untuk mendobrak pintu,Aku memberinya kunci untuk membuka pintu,kunci digunakan untuk membuka pintu dengan aman,"Jika seseorang memiliki kunci pintu, mereka tidak perlu mendobraknya.","Kunci digunakan untuk membuka pintu, bukan untuk mendobrak pintu.",dia tidak dapat menemukan pintu,dia menemukan pola di pintu itu mengganggu
9091,lucy minum teh untuk melayani tamu,Lucy membuat teh untuk melayani tamu,teh untuk tamu minum,tidak bisa menyajikan teh tamu yang telah diminum,"Keberuntungan tidak bisa menyajikan teh kepada tamu, dia sudah meminumnya.",tamu itu tidak suka teh yang dibuat lucy,ini pertama kalinya tamu datang ke lucy's
9092,paul memiliki foto yang diambil dengan dua Amerika,paul memiliki foto yang diambil dengan dua orang Amerika,Amerika terlalu besar untuk berada dalam gambar yang sama dengan seorang pria,Paul mengambil foto dengan dua orang Amerika.,seharusnya orang Amerika dan bukan orang Amerika,"setiap kali paul pergi ke Amerika, dia memotret",paul telah ke Amerika dua kali
9093,bos membuatnya bekerja keras sepanjang tahun,bos membuatnya bekerja keras sepanjang hari,seorang karyawan perlu istirahat setelah beberapa saat,Bos Anda tidak bisa bekerja sepanjang tahun,anda tidak bisa bekerja sepanjang tahun,dia adalah karyawan terbaik tahun ini,lebih banyak jam kerja menghasilkan gaji yang lebih tinggi
9094,Saya mendengar dia bernyanyi di kota berikutnya,Aku mendengar dia bernyanyi di kamar sebelah,tidak mungkin bagi suara manusia untuk melewati sejauh itu,mustahil mendengar sesuatu di kota lain,"Manusia tidak memiliki kemampuan pendengaran untuk mendengar jarak yang akan berada dalam konteks ""kota berikutnya"".",dia bekerja sebagai penyanyi di kota berikutnya,Saya akan pergi ke konsernya di kota berikutnya
9095,Aku bisa mendengar hujan deras melalui jendela,Aku bisa mendengar hujan berhamburan ke jendela,hujan tidak akan mengeluarkan suara jika melewati jendela,Hujan deras dapat dilihat melalui jendela tidak mendengar,Sebuah jendela mencegah hujan agar tidak masuk.,Saya lupa menutup jendela sebelum tidur,Saya suka hari hujan
9096,pacar saya memberi saya bunga mawar di Hari Valentine,pacar saya membawakan saya bunga mawar di Hari Valentine,pasangan mengirim dan menerima mawar dewasa pada Hari Valentine,Mawar tidak tumbuh dalam satu hari.,Bunga tidak tumbuh dalam sehari,pacar saya mengatakan kepada saya bahwa dia tidak lagi mencintaiku di Hari Valentine,pacar saya memiliki pertanian yang ditanami bunga mawar
9097,guru kami mengatakan kepada kami untuk membuat lebih banyak kesalahan dalam penelitian,guru kami memberi tahu kami untuk lebih berupaya dalam belajar,membuat kesalahan adalah tidak baik dalam belajar,guru tidak akan pernah mengatakan untuk membuat kesalahan dalam pelajaran,Guru akan meminta kita untuk tidak membuat lebih banyak kesalahan,guru kami menjadi marah jika kami melakukan banyak kesalahan,kami diberi tahu cara memperbaiki kesalahan dalam pembelajaran
9098,dia membuat kain yang indah untuk pesta makan malam,dia membuat gaun yang indah untuk pesta makan malam,kain tidak bisa dipakai untuk acara apa pun,Pesta makan malam membutuhkan persiapan makanan.,Anda tidak bisa makan pakaian di pesta makan malam,kain yang indah dapat menjadi bahan untuk pakaian yang indah,pesta makan malam memiliki taplak meja yang indah
9099,mesin otomatis canggih akan menghabiskan banyak tenaga kerja bagi kita,mesin otomatis canggih akan menghemat banyak tenaga kerja,menggunakan mesin adalah untuk menggantikan tenaga kerja,MESIN LANJUTAN AKAN BIAYA TENAGA KERJA,Inti dari mesin adalah untuk mengambil tenaga kerja.,mesin otomatis yang canggih segera rusak,kami menghabiskan banyak uang untuk mesin otomatis
9100,Keberhasilannya adalah karena pekerjaannya yang buruk,Keberhasilannya adalah karena pekerjaannya yang luar biasa,pekerjaan yang buruk tidak akan dianggap tinggi,Pekerjaan yang buruk tidak sama dengan kesuksesan.,Keberhasilan tergantung pada etos kerja yang baik,"terlepas dari beberapa pekerjaannya yang buruk, pekerjaan luar biasa lainnya membawanya ke kesuksesan",dia berhasil meningkatkan pekerjaannya yang buruk
9101,dia menoleh ke gurunya untuk bertanya dalam ujian,dia menoleh ke gurunya untuk bertanya tentang pekerjaan rumah,siswa tidak diperbolehkan berdiskusi selama ujian,"Dalam ujian, kami tidak dapat meminta pertanyaan kepada siapa pun",Siswa tidak mendapatkan bantuan selama ujian,dia adalah siswa terbaik di kelasnya,ini adalah ujian buku terbuka
9102,dia berusaha keras untuk berhasil membuat orang tuanya frustrasi,dia berusaha keras untuk berhasil menyenangkan orang tuanya,orang tua orang tentu ingin mereka menjadi sukses,Orang yang frustrasi bukanlah sesuatu yang harus dikaitkan dengan kesuksesan,Orang tua ingin anak-anak mereka berhasil.,dia menemukan orang tuanya ketat dengannya,orangtuanya memberi tahu dia bahwa penting untuk menjalani kehidupan yang bahagia
9103,orang dewasa tidak diperbolehkan minum bir,anak-anak tidak diperbolehkan untuk minum bir,orang dewasa cukup dewasa untuk memutuskan apakah mereka ingin minum bir,"jika orang dewasa tidak diperbolehkan minum bir, siapa yang mau minum bir?",bir diperbolehkan minum hanya untuk orang dewasa.,restoran ini tidak melayani bir,orang dewasa akan menjadi mabuk jika mereka minum terlalu banyak bir
9104,orang menjadi bodoh setelah mereka membaca berita,orang menjadi berpengetahuan setelah mereka membaca berita,orang belajar dari apa yang terjadi di dunia,membaca berita meningkatkan pengetahuan seseorang,orang-orang menjadi tahu setelah mereka membaca berita,beberapa berita bisa jadi palsu,orang yang bodoh biasanya tidak membaca berita
9105,caroline menanyakan nama anjingnya,caroline memberinya nama anjing,seekor anjing tidak bisa menjawab pertanyaan apa pun,Anjing tidak bisa bicara dan menyebutkan namanya,Seekor anjing tidak dapat berbicara.,carioline bertanya kepada teman-temannya apakah mereka punya nama baik untuk anjingnya,caroline diminta untuk mengubah nama anjingnya
9106,dia mencegah mobil dari pergi di jalan,dia mencegah mobil dari jalan,jalan untuk mobil terus berjalan,Jalan adalah tempat di mana mobil berjalan. Kita tidak bisa mencegah,Mobil dimaksudkan untuk bergerak di jalan.,ia menemukan banyak lalu lintas di jalan sehingga ia memutuskan untuk tidak mengemudi,ada sesuatu yang salah dengan mobil itu sehingga dia menepi
9107,franklin menari di dalam paduan suara,franklin bernyanyi di paduan suara,paduan suara memiliki beberapa penyanyi dan melakukan bernyanyi,Seseorang tidak akan menari dalam paduan suara karena paduan suara adalah sekelompok orang yang bernyanyi sebagai ansambel.,"Kebanyakan paduan suara bernyanyi, mereka tidak menari.",pertunjukan tariannya adalah setelah pertunjukan paduan suara,penyanyi franklin menemukan menari sangat menarik
9108,Fiona menulis daftar belanja setelah dia pergi ke supermarket,Fiona menulis daftar belanja sebelum dia pergi ke supermarket,daftar belanja adalah pengingat hal-hal untuk dibeli,semua orang akan menulis daftar belanja sebelum pergi ke supermarket,Setelah pergi ke supermarket tidak perlu membuat daftar belanja karena sudah ada dalam pikiran.,dia lupa membeli barang di daftar belanjanya,dia kehilangan daftar belanjaannya di supermarket setelah dia pergi
9109,petugas polisi menikmati makan donat dalam keadaan darurat,petugas polisi menikmati makan donat di waktu luang,polisi tidak makan apa-apa ketika mereka menangani keadaan darurat,Petugas polisi terburu-buru dalam keadaan darurat.,Petugas polisi berhenti makan ketika keadaan darurat muncul.,petugas polisi menggunakan donat untuk menghilangkan stres mereka setelah keadaan darurat,kami meminta bantuan petugas polisi ketika kami dalam keadaan darurat
9110,jill menulis buku dengan monster,jill menulis buku tentang monster,monster tidak menulis seperti manusia,Monster tidak nyata,Monster itu tidak ada.,buku ini tentang jill dan monster,jill begitu mengabdi pada bukunya sehingga orang lain melihatnya sebagai monster
9111,dia terbang dengan cepat ke luar negeri,dia terbang dengan pesawat ke luar negeri,lalat terlalu kecil untuk diangkut,manusia tidak bisa terbang dengan lalat,Tidak ada yang bisa terbang dengan cepat,dia menemukan seekor lalat dalam perjalanan ke luar negeri,lalat adalah spesies asing
9112,kita berbicara terlalu banyak bahwa kita semua muntah kemudian,kita makan terlalu banyak bahwa kita semua muntah kemudian,percakapan tidak menyebabkan muntah,Hanya berbicara jangan membuat manusia muntah. Jika muntah di tempat nanti.,Berbicara tidak membuat anda muntah.,kami terlalu banyak bicara di meja makan,topik pembicaraan kita adalah tentang makanan
9113,tucker overdosis permen,tucker overdosis heroin,makan terlalu banyak permen tidak overdosis,Anda tidak bisa overdosis dengan permen,Permen aman dikonsumsi bahkan dalam jumlah banyak,Obat tucker diganti dengan permen,makan permen untuk menghindari reaksi penarikan
9114,dia menjadi kotor setelah membeli rumah,dia menjadi kotor setelah dia mengecat rumah,membeli rumah tidak membuat anda kotor,membeli rumah tidak menyebabkan seseorang menjadi kotor.,tolong dapatkan rumah bersih lengkap,pekerja konstruksi membeli rumah yang dibangunnya,ia memutuskan untuk menghias rumah sendiri setelah ia membeli rumah
9115,Ariel ingin mengejutkan Beth dengan memanggilnya anak anjing,Ariel ingin mengejutkan Beth dengan membelikannya seekor anak anjing,memanggil seseorang anak anjing tidak akan membuatnya merasa terkejut,Beth tidak akan terkejut dengan dipanggil anak anjing.,Saya pikir anak anjing harus menjadi anjing dan tidak bisa dipanggil. Anak anjing adalah anjing yang tak seorang pun bisa bahagia dengan nama itu.,Ariel memanggil Beth bahwa dia akan memberinya anak anjingnya,Ariel menemukan anak anjing Beth yang hilang dan itu adalah kejutan besar baginya
9116,larry mengenakan pakaian renangnya untuk rapat,larry mengenakan pakaian santai untuk pertemuan,pertemuan tidak berlangsung di air,Baju renang untuk berenang bukan untuk rapat,Orang-orang tidak mengenakan pakaian renang untuk rapat.,larry mempresentasikan desain barunya pada pertemuan tersebut,larry merasa nyaman dengan pakaian renangnya
9117,dia menaruh sebuah apel di mulutnya,dia menaruh sepotong apel di mulutnya,makan apel membutuhkan beberapa suap,Seluruh apel lebih besar dari mulut.,Sebuah apel lebih besar dari mulut,dia gagal memamerkan mulut besarnya,satu apel sehari dapat menghindarkan dari penyakit
9118,dia mencetak stempel pada surat itu,dia menempelkan stempel pada surat itu,stempel yang dicetak membuat surat itu tidak terkirim,Stempel adalah yang sudah dibeli dari toko yang tidak dapat dicetak,"Kami tidak dapat mencetak perangko, hanya pemerintah yang dapat melakukannya; kita harus membelinya.",dia lupa menulis alamat surat itu,lem untuk prangko sudah habis
9119,alfred berhenti di drive-thru untuk lobster,alfred berhenti di drive-thru untuk hamburger,drive-thru hanya menyajikan makanan cepat saji,Aku belum pernah melihat di mana saja anda bisa mendapatkan lobster di drive-thru,"Lobster membutuhkan waktu yang cukup lama untuk dipersiapkan, sehingga umumnya tidak akan tersedia di drive-thru.","meskipun ia makan lobster untuk makan siang, alfred masih ingin beberapa makanan ringan",alfred berhenti di drive-thru dengan mobilnya yang penuh lobster
9120,"pada hari konser, kami pergi ke ruang makan sangat awal untuk tempat duduk","pada hari konser, kami pergi ke aula konser sangat awal untuk tempat duduk",Konser jarang diadakan di ruang makan,Konser tidak diadakan di ruang makan.,Dalam konser kita harus pergi ke aula tempat program dilakukan,"pada hari konser, kami makan sangat awal",kami bertemu di ruang makan dan berangkat ke konser
9121,mereka membeli kertas yang terbuat dari baja,mereka membeli kertas yang terbuat dari kayu,baja bukan bahan yang baik untuk kertas,"Kertas tidak terbuat dari baja, dan tidak bisa terbuat dari baja.",Kertas hanya dapat dibuat dari kertas,perusahaan baja membutuhkan banyak kertas untuk catatan perdagangan,kertas dipotong oleh lengan baja
9122,mereka nongkrong di ruang rapat,mereka nongkrong di kedai kopi,ruang rapat tidak menyediakan hiburan,MEREKA DAPAT MEMENUHI DI RUANG RAPAT TIDAK BERTUNGGU,Ruang pertemuan adalah tempat untuk membahas sesuatu yang penting.,bos mengatakan kepada mereka untuk bersantai selama pertemuan,mereka hadir tetapi pikiran mereka tidak ada
9123,Joey menggunakan pel untuk mengeringkan dirinya sendiri,joey menggunakan handuk untuk mengeringkan diri,pel digunakan untuk menyerap air dari lantai,"Pel digunakan untuk membersihkan lantai, bukan orang.",Pel basah dan tidak digunakan untuk mengeringkan seseorang.,joey terbaring di lantai,joey menemukan handuknya digunakan sebagai pel
9124,kebakaran hutan dikendalikan oleh pejuang jalanan,kebakaran hutan dikendalikan oleh petugas pemadam kebakaran,pejuang jalanan tidak tahu bagaimana memadamkan api,Kebakaran api unggun dikendalikan oleh petugas pemadam kebakaran.,"Pejuang API yang mencoba mengendalikan kebakaran, bukan pejuang jalanan.",pejuang jalanan adalah korban pembakaran,kebakaran hutan menyebar ke rumah pejuang jalanan
9125,sayang bisa mengerti tarian masing-masing,lebah dapat memahami tarian satu sama lain,madu tidak hidup dan tidak bisa menari,"madu adalah zat, tidak bisa dimengerti",madu adalah makhluk hidup yang tidak bisa mengerti menari.,orang suka menari dengan madu mereka,madu sangat manis sehingga dia menari setelah mencicipinya
9126,dia melihat arloji yang dikenakan di pinggangnya,dia melihat arloji yang dikenakan di pergelangan tangannya,arloji terlalu kecil untuk dikenakan di pinggang seseorang,"Anda memakai arloji di pergelangan tangan Anda, bukan di pinggang Anda.",Tidak ada yang memakai jam tangan pada limbah mereka.,ketika dia berdiri dia merasakan arlojinya menggosok pinggangnya,dia menemukan gelang jamnya menggunakan bahan yang sama dengan ikat pinggangnya
9127,obat tidur membuatnya tetap hangat di alam liar,kantong tidur membuatnya tetap hangat di alam liar,pil tidur hanya membuat orang merasa mengantuk,Pil tidur tidak berpengaruh pada suhu tubuh,Pil tidur hanya memberikan tidur,setelah makan pil tidur ia bermimpi dirinya merasa hangat di alam liar,dia menaruh pil tidur di api agar tetap hangat di alam liar
9128,rahasia adalah sesuatu yang diketahui semua orang,rahasia adalah sesuatu yang hanya sedikit diketahui orang,orang-orang biasanya tidak memberitahukan rahasianya kepada semua orang,Rahasia bersifat pribadi.,"Jika semua orang tahu, itu menjadi berita",dia menceritakan rahasia itu kepada setiap orang yang dia kenal,semua orang bertanya-tanya apa rahasianya
9129,dia makan terlalu banyak sehingga kentutnya manis,dia makan terlalu banyak sehingga kentutnya berbau,tidak ada kentut yang berbau,Kentut adalah bau tidak enak yang tidak bisa menjadi manis,makan terlalu banyak tidak menentukan aroma kentut.,dia menemukan kentutnya dibayangi manisnya makanan,dia makan terlalu banyak hal manis seperti permen
9130,dia mengunyah makanannya tanpa menelan,dia menelan makanannya tanpa mengunyah,makanan tidak akan masuk perut kita tanpa menelan,Tanpa menelan kita tidak bisa menyelesaikan mengunyah,menelan adalah proses yang datang setelah mengunyah makanan.,dia menemukan makanan terlalu panas untuk ditelannya,"semakin banyak orang mengunyah, semakin baik rasanya makanan"
9131,Dia membawa permen karetnya untuk berburu,Dia membawa senjatanya untuk berburu,permen karet tidak ada gunanya berburu,Dia kemungkinan membawa senjatanya untuk berburu.,Anda tidak perlu permen karet untuk berburu,dia meludahkan permen karet sebelum pergi,Menelan permen karet itu buruk bagi diri kita sendiri
9132,halaman itu basah setelah beberapa hari sinar matahari,halaman itu basah setelah beberapa hari hujan,sinar matahari membawa energi untuk mengeringkan halaman,Jika ada sinar matahari selama berhari-hari panjang halaman tidak bisa basah itu harus kering,Halaman tidak akan basah setelah beberapa hari dari sinar matahari.,halamannya sangat besar,sinar matahari membuat orang merasa nyaman
